Year ka BP,Value,Variable
8200,-2.25,Ocean Temp. [Celsius]
8100,-2.35,Ocean Temp. [Celsius]
8000,-2.10,Ocean Temp. [Celsius]
7900,-1.80,Ocean Temp. [Celsius]
7800,-2.30,Ocean Temp. [Celsius]
7700,-2.15,Ocean Temp. [Celsius]
7600,-2.00,Ocean Temp. [Celsius]
7500,-2.40,Ocean Temp. [Celsius]
7400,-1.90,Ocean Temp. [Celsius]
7300,-1.80,Ocean Temp. [Celsius]
7200,-1.75,Ocean Temp. [Celsius]
7100,-1.70,Ocean Temp. [Celsius]
7000,-1.80,Ocean Temp. [Celsius]
6900,-2.05,Ocean Temp. [Celsius]
6800,-2.30,Ocean Temp. [Celsius]
6700,-2.40,Ocean Temp. [Celsius]
6600,-2.50,Ocean Temp. [Celsius]
6500,-2.60,Ocean Temp. [Celsius]
6400,-2.70,Ocean Temp. [Celsius]
6300,-1.90,Ocean Temp. [Celsius]
6200,-2.35,Ocean Temp. [Celsius]
6100,-2.80,Ocean Temp. [Celsius]
6000,-2.10,Ocean Temp. [Celsius]
5900,-2.30,Ocean Temp. [Celsius]
5800,-3.30,Ocean Temp. [Celsius]
5700,-3.10,Ocean Temp. [Celsius]
5600,-2.90,Ocean Temp. [Celsius]
5500,-2.10,Ocean Temp. [Celsius]
5400,-1.30,Ocean Temp. [Celsius]
5300,-1.35,Ocean Temp. [Celsius]
5200,-1.40,Ocean Temp. [Celsius]
5100,-1.20,Ocean Temp. [Celsius]
5000,-1.00,Ocean Temp. [Celsius]
4900,-0.10,Ocean Temp. [Celsius]
4800,0.80,Ocean Temp. [Celsius]
4700,0.50,Ocean Temp. [Celsius]
4600,0.40,Ocean Temp. [Celsius]
4500,0.20,Ocean Temp. [Celsius]
4400,0.25,Ocean Temp. [Celsius]
4300,0.25,Ocean Temp. [Celsius]
11400,1841.36,Annual Precipitation [mm]
11300,1844.08,Annual Precipitation [mm]
11200,1900.57,Annual Precipitation [mm]
11100,1918.50,Annual Precipitation [mm]
11000,1974.53,Annual Precipitation [mm]
10900,1951.03,Annual Precipitation [mm]
10800,1901.93,Annual Precipitation [mm]
10700,1889.91,Annual Precipitation [mm]
10600,1814.81,Annual Precipitation [mm]
10500,1851.25,Annual Precipitation [mm]
10400,1780.81,Annual Precipitation [mm]
10300,1686.06,Annual Precipitation [mm]
10200,1611.24,Annual Precipitation [mm]
10100,1632.60,Annual Precipitation [mm]
10000,1609.66,Annual Precipitation [mm]
9900,1621.08,Annual Precipitation [mm]
9800,1614.43,Annual Precipitation [mm]
9700,1567.62,Annual Precipitation [mm]
9600,1601.39,Annual Precipitation [mm]
9500,1537.63,Annual Precipitation [mm]
9400,1596.19,Annual Precipitation [mm]
9300,1597.12,Annual Precipitation [mm]
9200,1607.88,Annual Precipitation [mm]
9100,1588.29,Annual Precipitation [mm]
9000,1572.32,Annual Precipitation [mm]
8900,1552.21,Annual Precipitation [mm]
8800,1590.58,Annual Precipitation [mm]
8700,1566.82,Annual Precipitation [mm]
8600,1578.13,Annual Precipitation [mm]
8500,1559.49,Annual Precipitation [mm]
8400,1576.81,Annual Precipitation [mm]
8300,1582.41,Annual Precipitation [mm]
8200,1563.80,Annual Precipitation [mm]
8100,1567.68,Annual Precipitation [mm]
8000,1608.92,Annual Precipitation [mm]
7900,1653.52,Annual Precipitation [mm]
7800,1655.69,Annual Precipitation [mm]
7700,1618.41,Annual Precipitation [mm]
7600,1637.42,Annual Precipitation [mm]
7500,1629.02,Annual Precipitation [mm]
7400,1639.87,Annual Precipitation [mm]
7300,1644.46,Annual Precipitation [mm]
7200,1662.87,Annual Precipitation [mm]
7100,1675.64,Annual Precipitation [mm]
7000,1658.30,Annual Precipitation [mm]
6900,1640.70,Annual Precipitation [mm]
6800,1645.64,Annual Precipitation [mm]
6700,1677.39,Annual Precipitation [mm]
6600,1681.97,Annual Precipitation [mm]
6500,1685.49,Annual Precipitation [mm]
6400,1656.68,Annual Precipitation [mm]
6300,1654.25,Annual Precipitation [mm]
6200,1665.33,Annual Precipitation [mm]
6100,1678.24,Annual Precipitation [mm]
6000,1725.62,Annual Precipitation [mm]
5900,1696.85,Annual Precipitation [mm]
5800,1699.68,Annual Precipitation [mm]
5700,1739.98,Annual Precipitation [mm]
5600,1704.92,Annual Precipitation [mm]
5500,1713.38,Annual Precipitation [mm]
5400,1702.46,Annual Precipitation [mm]
5300,1750.98,Annual Precipitation [mm]
5200,1698.45,Annual Precipitation [mm]
5100,1722.97,Annual Precipitation [mm]
5000,1734.79,Annual Precipitation [mm]
4900,1682.82,Annual Precipitation [mm]
4800,1680.59,Annual Precipitation [mm]
4700,1735.18,Annual Precipitation [mm]
4600,1707.26,Annual Precipitation [mm]
4500,1733.33,Annual Precipitation [mm]
4400,1725.37,Annual Precipitation [mm]
4300,1756.80,Annual Precipitation [mm]
11400,0,SPD (corrected)
11399,0,SPD (corrected)
11398,0,SPD (corrected)
11397,0,SPD (corrected)
11396,0,SPD (corrected)
11395,0,SPD (corrected)
11394,0,SPD (corrected)
11393,0,SPD (corrected)
11392,0,SPD (corrected)
11391,0,SPD (corrected)
11390,0,SPD (corrected)
11389,0,SPD (corrected)
11388,0,SPD (corrected)
11387,0,SPD (corrected)
11386,0,SPD (corrected)
11385,0,SPD (corrected)
11384,0,SPD (corrected)
11383,0,SPD (corrected)
11382,0,SPD (corrected)
11381,0,SPD (corrected)
11380,0,SPD (corrected)
11379,0,SPD (corrected)
11378,0,SPD (corrected)
11377,0,SPD (corrected)
11376,0,SPD (corrected)
11375,0,SPD (corrected)
11374,0,SPD (corrected)
11373,0,SPD (corrected)
11372,0,SPD (corrected)
11371,0,SPD (corrected)
11370,0,SPD (corrected)
11369,0,SPD (corrected)
11368,0,SPD (corrected)
11367,0,SPD (corrected)
11366,0,SPD (corrected)
11365,0,SPD (corrected)
11364,0,SPD (corrected)
11363,0,SPD (corrected)
11362,0,SPD (corrected)
11361,0,SPD (corrected)
11360,0,SPD (corrected)
11359,0,SPD (corrected)
11358,0,SPD (corrected)
11357,0,SPD (corrected)
11356,0,SPD (corrected)
11355,0,SPD (corrected)
11354,0,SPD (corrected)
11353,0,SPD (corrected)
11352,0,SPD (corrected)
11351,0,SPD (corrected)
11350,0,SPD (corrected)
11349,0,SPD (corrected)
11348,0,SPD (corrected)
11347,0,SPD (corrected)
11346,0,SPD (corrected)
11345,0,SPD (corrected)
11344,0,SPD (corrected)
11343,0,SPD (corrected)
11342,0,SPD (corrected)
11341,0,SPD (corrected)
11340,0,SPD (corrected)
11339,0,SPD (corrected)
11338,0,SPD (corrected)
11337,0,SPD (corrected)
11336,0,SPD (corrected)
11335,0,SPD (corrected)
11334,0,SPD (corrected)
11333,0,SPD (corrected)
11332,0,SPD (corrected)
11331,0,SPD (corrected)
11330,0,SPD (corrected)
11329,0,SPD (corrected)
11328,0,SPD (corrected)
11327,0,SPD (corrected)
11326,0,SPD (corrected)
11325,0,SPD (corrected)
11324,0,SPD (corrected)
11323,0,SPD (corrected)
11322,0,SPD (corrected)
11321,0,SPD (corrected)
11320,0,SPD (corrected)
11319,0,SPD (corrected)
11318,0,SPD (corrected)
11317,0,SPD (corrected)
11316,0,SPD (corrected)
11315,0,SPD (corrected)
11314,0,SPD (corrected)
11313,0,SPD (corrected)
11312,0,SPD (corrected)
11311,0,SPD (corrected)
11310,0,SPD (corrected)
11309,7.28444E-05,SPD (corrected)
11308,7.29931E-05,SPD (corrected)
11307,7.31433E-05,SPD (corrected)
11306,7.32949E-05,SPD (corrected)
11305,7.34479E-05,SPD (corrected)
11304,7.31635E-05,SPD (corrected)
11303,7.28841E-05,SPD (corrected)
11302,0,SPD (corrected)
11301,0.000199354,SPD (corrected)
11300,0.0002064,SPD (corrected)
11299,0.000213763,SPD (corrected)
11298,0.000221452,SPD (corrected)
11297,0.00022948,SPD (corrected)
11296,0.000237859,SPD (corrected)
11295,0.0002466,SPD (corrected)
11294,0.000255697,SPD (corrected)
11293,0.000265161,SPD (corrected)
11292,0.000275003,SPD (corrected)
11291,0.000285235,SPD (corrected)
11290,0.000295869,SPD (corrected)
11289,0.000306777,SPD (corrected)
11288,0.000317963,SPD (corrected)
11287,0.000329434,SPD (corrected)
11286,0.000341195,SPD (corrected)
11285,0.000353251,SPD (corrected)
11284,0.000365619,SPD (corrected)
11283,0.000378306,SPD (corrected)
11282,0.000391316,SPD (corrected)
11281,0.000404657,SPD (corrected)
11280,0.000418334,SPD (corrected)
11279,0.000432516,SPD (corrected)
11278,0.000447214,SPD (corrected)
11277,0.000462443,SPD (corrected)
11276,0.000478216,SPD (corrected)
11275,0.000494546,SPD (corrected)
11274,0.000511371,SPD (corrected)
11273,0.000528701,SPD (corrected)
11272,0.000546545,SPD (corrected)
11271,0.000564914,SPD (corrected)
11270,0.000583819,SPD (corrected)
11269,0.000603094,SPD (corrected)
11268,0.000622744,SPD (corrected)
11267,0.000642774,SPD (corrected)
11266,0.000663189,SPD (corrected)
11265,0.000684382,SPD (corrected)
11264,0.000705763,SPD (corrected)
11263,0.000727333,SPD (corrected)
11262,0.000749093,SPD (corrected)
11261,0.000771046,SPD (corrected)
11260,0.000793191,SPD (corrected)
11259,0.000815458,SPD (corrected)
11258,0.000837848,SPD (corrected)
11257,0.00086036,SPD (corrected)
11256,0.000882997,SPD (corrected)
11255,0.000905759,SPD (corrected)
11254,0.000928607,SPD (corrected)
11253,0.000951541,SPD (corrected)
11252,0.000974563,SPD (corrected)
11251,0.000997671,SPD (corrected)
11250,0.001020868,SPD (corrected)
11249,0.001044267,SPD (corrected)
11248,0.00106787,SPD (corrected)
11247,0.00109168,SPD (corrected)
11246,0.001115696,SPD (corrected)
11245,0.001139922,SPD (corrected)
11244,0.001164329,SPD (corrected)
11243,0.001188917,SPD (corrected)
11242,0.00121369,SPD (corrected)
11241,0.001238649,SPD (corrected)
11240,0.001263796,SPD (corrected)
11239,0.001289051,SPD (corrected)
11238,0.001314412,SPD (corrected)
11237,0.001339881,SPD (corrected)
11236,0.001365459,SPD (corrected)
11235,0.001391145,SPD (corrected)
11234,0.001416797,SPD (corrected)
11233,0.001442416,SPD (corrected)
11232,0.001468002,SPD (corrected)
11231,0.001493556,SPD (corrected)
11230,0.001519079,SPD (corrected)
11229,0.001544468,SPD (corrected)
11228,0.001569725,SPD (corrected)
11227,0.00159485,SPD (corrected)
11226,0.001619845,SPD (corrected)
11225,0.001644709,SPD (corrected)
11224,0.001669431,SPD (corrected)
11223,0.001694012,SPD (corrected)
11222,0.001718453,SPD (corrected)
11221,0.001742755,SPD (corrected)
11220,0.001766921,SPD (corrected)
11219,0.001791081,SPD (corrected)
11218,0.001815237,SPD (corrected)
11217,0.001839388,SPD (corrected)
11216,0.001863535,SPD (corrected)
11215,0.001887676,SPD (corrected)
11214,0.001912071,SPD (corrected)
11213,0.001936721,SPD (corrected)
11212,0.001961629,SPD (corrected)
11211,0.001986798,SPD (corrected)
11210,0.002012229,SPD (corrected)
11209,0.00203775,SPD (corrected)
11208,0.002063727,SPD (corrected)
11207,0.002090168,SPD (corrected)
11206,0.002117082,SPD (corrected)
11205,0.002144477,SPD (corrected)
11204,0.002172377,SPD (corrected)
11203,0.002200794,SPD (corrected)
11202,0.002230097,SPD (corrected)
11201,0.002259935,SPD (corrected)
11200,0.00229032,SPD (corrected)
11199,0.002321089,SPD (corrected)
11198,0.002352248,SPD (corrected)
11197,0.002383801,SPD (corrected)
11196,0.002415754,SPD (corrected)
11195,0.002448113,SPD (corrected)
11194,0.002480702,SPD (corrected)
11193,0.002513523,SPD (corrected)
11192,0.002546579,SPD (corrected)
11191,0.002579872,SPD (corrected)
11190,0.002613403,SPD (corrected)
11189,0.002647058,SPD (corrected)
11188,0.002680838,SPD (corrected)
11187,0.002714742,SPD (corrected)
11186,0.002748771,SPD (corrected)
11185,0.002782927,SPD (corrected)
11184,0.002817307,SPD (corrected)
11183,0.002851913,SPD (corrected)
11182,0.002886747,SPD (corrected)
11181,0.002921811,SPD (corrected)
11180,0.002957107,SPD (corrected)
11179,0.002993122,SPD (corrected)
11178,0.003029875,SPD (corrected)
11177,0.003067019,SPD (corrected)
11176,0.003104929,SPD (corrected)
11175,0.003143621,SPD (corrected)
11174,0.003184205,SPD (corrected)
11173,0.003226794,SPD (corrected)
11172,0.003271511,SPD (corrected)
11171,0.00331849,SPD (corrected)
11170,0.003367873,SPD (corrected)
11169,0.003420633,SPD (corrected)
11168,0.003477061,SPD (corrected)
11167,0.003537474,SPD (corrected)
11166,0.003602218,SPD (corrected)
11165,0.003671663,SPD (corrected)
11164,0.003744702,SPD (corrected)
11163,0.003821542,SPD (corrected)
11162,0.003902396,SPD (corrected)
11161,0.003987485,SPD (corrected)
11160,0.004077031,SPD (corrected)
11159,0.004168366,SPD (corrected)
11158,0.004261521,SPD (corrected)
11157,0.00435653,SPD (corrected)
11156,0.004453424,SPD (corrected)
11155,0.004552235,SPD (corrected)
11154,0.004650327,SPD (corrected)
11153,0.004747705,SPD (corrected)
11152,0.004844372,SPD (corrected)
11151,0.004940331,SPD (corrected)
11150,0.005035586,SPD (corrected)
11149,0.005129486,SPD (corrected)
11148,0.005222045,SPD (corrected)
11147,0.005313276,SPD (corrected)
11146,0.00540319,SPD (corrected)
11145,0.0054918,SPD (corrected)
11144,0.005579572,SPD (corrected)
11143,0.005666506,SPD (corrected)
11142,0.0057526,SPD (corrected)
11141,0.005837852,SPD (corrected)
11140,0.005922262,SPD (corrected)
11139,0.006004711,SPD (corrected)
11138,0.006085232,SPD (corrected)
11137,0.006163859,SPD (corrected)
11136,0.006240624,SPD (corrected)
11135,0.006315558,SPD (corrected)
11134,0.006388005,SPD (corrected)
11133,0.006458044,SPD (corrected)
11132,0.00652575,SPD (corrected)
11131,0.006591196,SPD (corrected)
11130,0.006654454,SPD (corrected)
11129,0.006715926,SPD (corrected)
11128,0.006775662,SPD (corrected)
11127,0.00683371,SPD (corrected)
11126,0.006890117,SPD (corrected)
11125,0.00694493,SPD (corrected)
11124,0.006998506,SPD (corrected)
11123,0.007050872,SPD (corrected)
11122,0.007102058,SPD (corrected)
11121,0.007152088,SPD (corrected)
11120,0.007200989,SPD (corrected)
11119,0.007249737,SPD (corrected)
11118,0.00729833,SPD (corrected)
11117,0.007346769,SPD (corrected)
11116,0.007395054,SPD (corrected)
11115,0.007443183,SPD (corrected)
11114,0.007492044,SPD (corrected)
11113,0.00754165,SPD (corrected)
11112,0.007592015,SPD (corrected)
11111,0.007643156,SPD (corrected)
11110,0.007695086,SPD (corrected)
11109,0.007748546,SPD (corrected)
11108,0.007803592,SPD (corrected)
11107,0.007860282,SPD (corrected)
11106,0.007918677,SPD (corrected)
11105,0.007978839,SPD (corrected)
11104,0.008041293,SPD (corrected)
11103,0.008106142,SPD (corrected)
11102,0.008173495,SPD (corrected)
11101,0.008243462,SPD (corrected)
11100,0.00831616,SPD (corrected)
11099,0.008391773,SPD (corrected)
11098,0.008470423,SPD (corrected)
11097,0.008552235,SPD (corrected)
11096,0.008637336,SPD (corrected)
11095,0.008725851,SPD (corrected)
11094,0.008816935,SPD (corrected)
11093,0.008910652,SPD (corrected)
11092,0.009007062,SPD (corrected)
11091,0.009106228,SPD (corrected)
11090,0.00920821,SPD (corrected)
11089,0.009311361,SPD (corrected)
11088,0.009415692,SPD (corrected)
11087,0.009521211,SPD (corrected)
11086,0.009627927,SPD (corrected)
11085,0.009735849,SPD (corrected)
11084,0.009842159,SPD (corrected)
11083,0.009946861,SPD (corrected)
11082,0.010049958,SPD (corrected)
11081,0.010151452,SPD (corrected)
11080,0.010251349,SPD (corrected)
11079,0.010347466,SPD (corrected)
11078,0.010439865,SPD (corrected)
11077,0.010528607,SPD (corrected)
11076,0.010613755,SPD (corrected)
11075,0.010695374,SPD (corrected)
11074,0.010772727,SPD (corrected)
11073,0.010845947,SPD (corrected)
11072,0.010915164,SPD (corrected)
11071,0.010980505,SPD (corrected)
11070,0.011042095,SPD (corrected)
11069,0.01110037,SPD (corrected)
11068,0.011155439,SPD (corrected)
11067,0.011207409,SPD (corrected)
11066,0.011256384,SPD (corrected)
11065,0.011302083,SPD (corrected)
11064,0.011345978,SPD (corrected)
11063,0.011388112,SPD (corrected)
11062,0.011428526,SPD (corrected)
11061,0.011467263,SPD (corrected)
11060,0.011504362,SPD (corrected)
11059,0.011540428,SPD (corrected)
11058,0.011575476,SPD (corrected)
11057,0.011609522,SPD (corrected)
11056,0.011642581,SPD (corrected)
11055,0.011674668,SPD (corrected)
11054,0.011705744,SPD (corrected)
11053,0.011735828,SPD (corrected)
11052,0.011764939,SPD (corrected)
11051,0.011793094,SPD (corrected)
11050,0.01182031,SPD (corrected)
11049,0.011846006,SPD (corrected)
11048,0.011870224,SPD (corrected)
11047,0.011893005,SPD (corrected)
11046,0.011914388,SPD (corrected)
11045,0.011934411,SPD (corrected)
11044,0.011953377,SPD (corrected)
11043,0.011971306,SPD (corrected)
11042,0.011988217,SPD (corrected)
11041,0.012004128,SPD (corrected)
11040,0.012019059,SPD (corrected)
11039,0.012033971,SPD (corrected)
11038,0.012048864,SPD (corrected)
11037,0.012063739,SPD (corrected)
11036,0.012078594,SPD (corrected)
11035,0.01209343,SPD (corrected)
11034,0.012108275,SPD (corrected)
11033,0.012123131,SPD (corrected)
11032,0.012137998,SPD (corrected)
11031,0.01215288,SPD (corrected)
11030,0.012167777,SPD (corrected)
11029,0.012182223,SPD (corrected)
11028,0.012196227,SPD (corrected)
11027,0.012209799,SPD (corrected)
11026,0.012222949,SPD (corrected)
11025,0.012235685,SPD (corrected)
11024,0.012248001,SPD (corrected)
11023,0.012259905,SPD (corrected)
11022,0.012271403,SPD (corrected)
11021,0.012282505,SPD (corrected)
11020,0.012293218,SPD (corrected)
11019,0.012303576,SPD (corrected)
11018,0.012313583,SPD (corrected)
11017,0.012323244,SPD (corrected)
11016,0.012332564,SPD (corrected)
11015,0.012341546,SPD (corrected)
11014,0.012350044,SPD (corrected)
11013,0.012358058,SPD (corrected)
11012,0.012365586,SPD (corrected)
11011,0.012372628,SPD (corrected)
11010,0.012379183,SPD (corrected)
11009,0.012385267,SPD (corrected)
11008,0.012390872,SPD (corrected)
11007,0.01239599,SPD (corrected)
11006,0.012400616,SPD (corrected)
11005,0.012404739,SPD (corrected)
11004,0.012408411,SPD (corrected)
11003,0.012411623,SPD (corrected)
11002,0.012414365,SPD (corrected)
11001,0.012416626,SPD (corrected)
11000,0.012418397,SPD (corrected)
10999,0.012419961,SPD (corrected)
10998,0.012421317,SPD (corrected)
10997,0.01242246,SPD (corrected)
10996,0.012423386,SPD (corrected)
10995,0.012424091,SPD (corrected)
10994,0.012424892,SPD (corrected)
10993,0.012425788,SPD (corrected)
10992,0.012426782,SPD (corrected)
10991,0.012427876,SPD (corrected)
10990,0.012429073,SPD (corrected)
10989,0.012430334,SPD (corrected)
10988,0.012431661,SPD (corrected)
10987,0.012433056,SPD (corrected)
