Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Mainland,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,N/A,B14092,Open air,S781,Riskallsvatn lok. 92,Y,4940,80,T-7252,5901,5684,5576,0,0,0,1,0,0,0,95,N/A,N/A,N/A,N/A,N/A,Early/Middle Neolithic,N/A,431410,6781247,4.31411E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14092
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147144,N/A,Open air,S405,Kalvebeitet,Y,5930,110,Beta-117575,7021,6764,6485,0,0,1,0,0,0,0,934,16.1,15.2,15.2,13.8,0.7,Late Mesolithic,Late Mesolithic,347570.4183,6893594.955,347570.41836893594.955,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162712,B14741,Open air,S397,30 Nygård,Y,7630,100,Beta-88515,8600,8433,8278,0,0,1,0,0,0,0,30,11.4,11.3,11.3,11.2,0.1,Late Mesolithic,N/A,302730.722,6865917.624,302730.7226865917.624,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,4820,80,Beta-67994,5720,5534,5441,0,0,0,1,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Early/Middle Neolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6140,30,Beta-472535,7159,7038,6946,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,91041,N/A,Open air,S347,Flona - Lok. 11 (1997),Y,3810,80,Beta-112466,4419,4207,3978,0,0,0,0,0,0,1,125,9.6,9.2,9.4,8.5,0.5,Late Neolithic/Early Bronze Age,Late Neolithic,279443.0035,6730698.791,279443.00356730698.791,
Outer coast,Hordaland,Øygarden,4626,N/A,34,193. 523,174695,B17624/ B17881,Open air,S321,Sotrasambandet lok 11 Søre Bildøy,Y,5200,35,Poz-106817,6005,5961,5901,0,0,0,1,0,0,0,927,14.7,12.7,12.6,10.8,1.2,Early/Middle Neolithic,Early/Middle Neolithic,285623.4832,6697561.85,285623.48326697561.85,
Fjords,Hordaland,Alver,4631,Leirvik,304,25,108117,B15621,Open air,S353,Leirvik - Lok. 27 (1996),Y,4575,65,TUa-2197,5468,5243,5041,0,0,0,0,1,0,0,100,10.5,8.8,8.8,7,1.8,Early/Middle Neolithic,Early/Middle Neolithic,285289.011,6717857.14,285289.0116717857.14,
Fjords,Hordaland,Alver,4631,Flatøy,1,291. 342,107894,B12781,Open air,S358,Flatøy - Lok. III,Y,4410,130,T-2386,5330,5048,4797,0,0,0,0,1,0,0,6,14,12.3,13.2,11.6,1.2,Early/Middle Neolithic,Early/Middle Neolithic,294708.8793,6716715.742,294708.87936716715.742,
Fjords,Hordaland,Bergen,4601,N/A,198,5. 37,138527,B18305,Open air,S367,Hylkjeneset lok 6,Y,4010,40,Beta-286527,4584,4480,4405,0,0,0,0,0,0,1,265,15.7,15,15.3,13.9,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,299996.1773,6713813.059,299996.17736713813.059,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162632,B15131,Open air,S402,109 Havnen,Y,5720,70,Beta-53626,6670,6516,6391,0,0,0,0,0,0,0,300,9.3,8.9,9.1,8.4,0.4,Early/Middle Neolithic,N/A,300869.8484,6866341.546,300869.84846866341.546,
Outer coast,Hordaland,Stord,4614,Sætrevik 53/1,53,1. 51,223045,B18286,Rock shelter,S290,Lokalitet Sjøpollen - Grunnavågen,Y,4540,40,Beta-448296,5203,5163,5047,0,0,0,0,1,0,0,N/A,12.4,11.3,11.5,10.6,0.9,Early/Middle Neolithic,Early/Middle Neolithic,297714.7745,6631501.822,297714.77456631501.822,
Fjords,Hordaland,Alver,4631,Flatøy,1,N/A,107911,B12887,Open air,S362,Flatøy - Lok. XIII,Y,6200,130,T-2741,7340,7084,6786,0,0,1,0,0,0,0,70,17,15,15.5,14.5,1.1,Late Mesolithic,Late Mesolithic,294734.8584,6716831.201,294734.85846716831.201,
Fjords,Hordaland,Alver,4631,Flatøy,1,342,107897,B12782,Open air,S355,Flatøy - Lok. VIII,Y,5240,150,T-2385,6303,6020,5658,0,0,1,0,0,0,0,118,13.7,12.9,12.9,12.2,0.6,Late Mesolithic,Late Mesolithic,294720.4475,6716694.859,294720.44756716694.859,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162681,B14743,Open air,S393,33 Klubben,Y,4980,110,Beta-48250,5938,5728,5566,0,0,0,1,0,0,0,150,9.5,9.4,9.4,9.3,0.1,Early/Middle Neolithic,N/A,300187.081,6865756.994,300187.0816865756.994,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,107908,B12885,Open air,S361,Flatøy - Lok. XI,Y,6210,110,T-2589,7330,7096,6841,0,0,1,0,0,0,0,40,7.7,7.3,7.4,7.3,0.2,Late Mesolithic,Late Mesolithic,294718.6275,6716782.024,294718.62756716782.024,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,138422,B18302,Open air,S366,Hylkjeneset lok 3,Y,4620,40,Beta-286525,5471,5398,5285,0,0,0,0,1,0,0,669,17.3,15.6,15.6,13,1.3,Early/Middle Neolithic,Early/Middle Neolithic,299927.8496,6713952.903,299927.84966713952.903,
Fjords,Sogn og Fjordane,N/A,N/A,Skorpa,N/A,N/A,35737,B15140,Open air,S404,Skorpa lok. 118,Y,5030,80,Beta-68000,5916,5774,5600,0,0,0,1,0,0,0,180,13.1,12.5,12.7,11.7,0.5,Early/Middle Neolithic,N/A,300503.3206,6866855.819,300503.32066866855.819,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/35737-1
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,5080,140,Beta-67993,6195,5826,5581,0,0,0,1,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Early/Middle Neolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,138418,N/A,Open air,S365,Hylkjeneset lok 1,Y,4800,40,Beta-286522,5598,5523,5465,0,0,0,1,0,0,0,455,15,13.8,13.5,12.7,0.8,Early/Middle Neolithic,Early/Middle Neolithic,299937.8352,6713979.652,299937.83526713979.652,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,45778,B14922,Open air,S400,85 Havnen,Y,4470,110,Beta-48264,5328,5116,4844,0,0,0,0,1,0,0,260,11.3,9.6,9.5,8.5,0.9,Early/Middle Neolithic,N/A,301366.8903,6866263.962,301366.89036866263.962,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,64047,B14904,Open air,S392,67 Klubben,Y,3960,90,Beta-48259,4649,4413,4148,0,0,0,0,0,0,1,120,6.6,6.2,6.3,5.6,0.4,Late Neolithic/Early Bronze Age,N/A,299831.9777,6865846.232,299831.97776865846.232,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,6550,80,Beta-48166,7579,7457,7310,0,0,1,0,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Late Mesolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,5440,120,T-7517,6450,6219,5983,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Fjords,Hordaland,Ullensvang,4618,Sævarhagen,303,N/A,91275,B16233,Rock shelter,S300,Sævarhagen - Sævarhagshellaren,Y,7110,60,Poz-15839,8025,7935,7827,0,0,1,0,0,0,0,2064,70.5,48.6,47.7,31.9,11,Late Mesolithic,Late Mesolithic,355132.9585,6693027.47,355132.95856693027.47,
Fjords,Hordaland,Kvam,4622,N/A,N/A,N/A,139234,N/A,Open air,S985,Dyrkingsflate,Y,6030,40,Beta-291440,6985,6872,6780,0,0,1,0,0,0,0,128,25.1,24.4,24.5,23.5,0.6,Late Mesolithic,Late Mesolithic,347504,6697248,3.47505E+12,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,5950,100,T-7533,7014,6787,6499,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,99653,N/A,Open air,S407,Øvre Brauta,Y,4960,40,Beta-234496,5753,5678,5593,0,0,0,1,0,0,0,2558,26.9,24.3,24.6,21.5,1.3,N/A,Early Neolithic,342305.1846,6903306.423,342305.18466903306.423,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162641,B14945,Open air,S401,108 Havnen,Y,4320,110,Beta-48272,5291,4925,4780,0,0,0,0,1,0,0,400,9.4,9.4,9.4,9.4,0,Early/Middle Neolithic,N/A,301036.7169,6866337.566,301036.71696866337.566,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,5330,30,Beta-428853,6094,6107,5999,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,145278,N/A,Open air,S406,Grøvik Verk,Y,3780,70,Beta-196626,4405,4162,3979,0,0,0,0,0,0,1,N/A,11.9,9.8,10.4,6,2.1,Late Neolithic/Early Bronze Age,Late Neolithic,344240.3981,6904417.095,344240.39816904417.095,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,N/A,B16173,Open air,S411,Nedre Berge och Mykelbust - Felt 2,Y,6860,110,Beta-200967,7933,7710,7564,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,326233,6915738,3.26234E+12,
