Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4610,80,T-7151,5483,5322,5045,0,0,0,0,1,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,6110,40,Poz-106738,7159,6984,6884,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,4850,40,Poz-96624,5610,5584,5476,0,0,0,1,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Early/Middle Neolithic,Early/Middle Neolithic,284895.6883,6697070.755,284895.68836697070.755,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162709,B14588,Open air,S386,1 Haukedal,Y,3970,60,Beta-83493,4583,4431,4235,0,0,0,0,0,0,1,395,8.9,6,6.8,1.4,2.7,Late Neolithic/Early Bronze Age,N/A,303893.5949,6865432.632,303893.59496865432.632,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,139424,B16864/ B17870/ B17901,Open air,S282,Giskegjerdet 2,Y,4480,30,Beta-484962,5290,5168,5036,0,0,0,0,1,0,0,1091,11.6,10.5,10.8,8.7,1.1,Early/Middle Neolithic,Early/Middle Neolithic,348738.3382,6933588.423,348738.33826933588.423,
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,66731,N/A,Open air,S3,Uratangen I,Y,7720,30,Beta-542515,8550,8492,8420,0,0,1,0,0,0,0,1144,16.5,14.5,14.1,13.3,1,Late Mesolithic,Late Mesolithic,287969,6613705,2.8797E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/66731-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,66731,N/A,Open air,S3,Uratangen I,Y,6620,30,Beta-512320,7570,7506,7431,0,0,1,0,0,0,0,1144,16.5,14.5,14.1,13.3,1,Late Mesolithic,Late Mesolithic,287969,6613705,2.8797E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/66731-1
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,7230,100,T-7526,8217,8056,7913,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,139424,B16864/ B17870/ B17901,Open air,S282,Giskegjerdet 2,Y,4490,30,Beta-484967,5297,5166,5040,0,0,0,0,1,0,0,1091,11.6,10.5,10.8,8.7,1.1,Early/Middle Neolithic,Early/Middle Neolithic,348738.3382,6933588.423,348738.33826933588.423,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4900,100,T-7336,5902,5645,5462,0,0,0,1,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Mainland,Hordaland,Bømlo,4613,N/A,N/A,N/A,6716,N/A,Quarry,S195,Finnås - Steinbrot. Siggjo,Y,4940,90,T-3676,5905,5688,5571,0,0,0,1,0,0,0,N/A,465.2,427.5,432.7,362.6,24,Early/Middle Neolithic,Early/Middle Neolithic,291751.3381,6629398.565,291751.33816629398.565,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,139424,B16864/ B17870/ B17901,Open air,S282,Giskegjerdet 2,Y,4570,30,Beta-484965,5325,5290,5266,0,0,0,0,1,0,0,1091,11.6,10.5,10.8,8.7,1.1,Early/Middle Neolithic,Early/Middle Neolithic,348738.3382,6933588.423,348738.33826933588.423,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6220,30,Beta-458882,7134,7098,7003,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6270,30,Beta-472533,7267,7212,7156,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,9230,30,Beta-427480,10501,10390,10264,1,0,0,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Early Mesolithic,Early Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6360,30,Beta-415037,7332,7283,7264,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6680,30,Beta-389722,7609,7536,7484,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,4390,55,Beta-67997 ETH-11616,5069,4974,4847,0,0,0,0,1,0,0,300,10.7,7.7,7.4,5.7,1.5,Early/Middle Neolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6810,30,Beta-427477,7685,7641,7585,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6880,30,Beta-458886,7790,7708,7660,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6800,50,Soe12,7735,7638,7571,0,0,1,0,0,0,0,671,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6210,30,Beta-389713,7137,7088,6999,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6300,50,Soe25,7326,7218,7155,0,0,1,0,0,0,0,700,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,3730,40,Soe7,4159,4078,3972,0,0,0,0,0,0,1,N/A,10.5,10,10,9.9,0.2,Late Neolithic/Early Bronze Age,Late Neolithic,360214.0147,6937911.496,360214.01476937911.496,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146851,B15677,Open air,S463,Hjellvik lok. 1,Y,7190,60,Beta-124832,8060,8000,7929,0,0,1,0,0,0,0,290,11.4,9,7.8,7.3,1.8,Late Mesolithic,Late Mesolithic,338756.3565,6905434.741,338756.35656905434.741,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,4560,60,Beta-78324 CAMS-17547,5331,5149,5037,0,0,0,0,1,0,0,300,10.7,7.7,7.4,5.7,1.5,Early/Middle Neolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146845,B15680,Open air,S408,Hjellvik lok. 11,Y,5280,70,Beta-152262,6208,6073,5916,0,0,1,0,0,0,0,85,9.8,8.7,8.9,7.6,0.9,Late Mesolithic,Late Mesolithic,338750.7217,6905450.686,338750.72176905450.686,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6440,30,Beta-458883,7425,7365,7306,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,6125,35,Poz-106706,7080,7006,6900,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,4530,30,Beta-477302,5193,5157,5051,0,0,0,0,1,0,0,1200,17.4,11.9,11.8,8.1,2.9,Early/Middle Neolithic,Early/Middle Neolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,148145,N/A,Open air,S415,Klokkersund - Lok. R14,Y,4050,30,Beta-333812,4617,4519,4421,0,0,0,0,0,0,1,65,6.9,4.1,2.8,1.8,2,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,357808.3473,6928979.101,357808.34736928979.101,
Outer coast,Hordaland,Øygarden,4626,N/A,34,193. 523,174695,B17624/ B17881,Open air,S321,Sotrasambandet lok 11 Søre Bildøy,Y,6950,30,Beta-477278,7849,7772,7686,0,0,1,0,0,0,0,875,14.7,12.7,12.6,10.8,1.2,Late Mesolithic,Late Mesolithic,285623.4832,6697561.85,285623.48326697561.85,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,8290,30,Beta-427478,9422,9303,9200,0,1,0,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Middle Mesolithic,Middle Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162712,B14741,Open air,S397,30 Nygård,Y,7710,90,Beta-88516,8723,8500,8343,0,0,1,0,0,0,0,30,11.4,11.3,11.3,11.2,0.1,Late Mesolithic,N/A,302730.722,6865917.624,302730.7226865917.624,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,6800,90,T-7153,7839,7648,7487,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,113939,N/A,Rock shelter,S303,Fana - Heller. Sageneset,Y,7110,140,T-3401,8197,7929,7665,0,0,1,0,0,0,0,81,41.5,27.7,28.3,12.3,11.6,Late Mesolithic,Late Mesolithic,297147.6021,6685609.262,297147.60216685609.262,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,136277,N/A,Open air,S307,Lok. 1 Søvikneset,Y,4100,30,Tra-1205,4655,4611,4519,0,0,0,0,1,0,1,4900,17.7,13.5,13.4,7.5,2,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,295458.2861,6692557.552,295458.28616692557.552,
Outer coast,Hordaland,Austevoll,4625,N/A,N/A,N/A,97715,N/A,Rock shelter,S297,Haukanes - Lok. 1 (2001),Y,3970,60,T-15694,4583,4431,4235,0,0,0,0,0,0,1,35,12.7,12.6,12.4,12,0.4,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,293927.3202,6664431.188,293927.32026664431.188,
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,6719,N/A,Open air,S4,Hovland - Aurebettjødno II,Y,4450,30,Beta-512328,5143,5112,4960,0,0,0,0,0,0,0,63,14.5,12.9,12.6,12.1,0.7,Early/Middle Neolithic,Early/Middle Neolithic,288022.2231,6613714.11,288022.22316613714.11,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6719-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,557. 717,95624,B15011,Open air,S315,Bjorøy - Lok. 17. Nilsvika,Y,4690,140,Beta-67775,5665,5396,4973,0,0,0,1,0,0,0,72,3.8,2.5,2.5,1.2,1.3,Early Neolithic,Early Neolithic,288957.2972,6694646.594,288957.29726694646.594,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95624-1
Fjords,Hordaland,Ullensvang,4618,Sævarhagen,303,1. 7. 12. 13,91277,B16361,Rock shelter,S299,Sævarhagen - Heller,Y,5910,40,Poz-19337,6800,6729,6646,0,0,1,0,0,0,0,166,39.6,33.2,33.2,26.8,6.4,Late Mesolithic,Late Mesolithic,355006.7965,6693012.414,355006.79656693012.414,
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,6719,N/A,Open air,S4,Hovland - Aurebettjødno II,Y,4920,30,Beta-512325,5718,5638,5591,0,0,0,0,0,0,0,63,14.5,12.9,12.6,12.1,0.7,Early/Middle Neolithic,Early/Middle Neolithic,288022.2231,6613714.11,288022.22316613714.11,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6719-1
Fjords,Hordaland,Ullensvang,4618,Sævarhagen,303,1. 7. 12. 13,91277,B16361,Rock shelter,S299,Sævarhagen - Heller,Y,6620,40,Poz-19340,7571,7505,7430,0,0,1,0,0,0,0,166,39.6,33.2,33.2,26.8,6.4,Late Mesolithic,Late Mesolithic,355006.7965,6693012.414,355006.79656693012.414,
Fjords,Hordaland,Ullensvang,4618,Sævarhagen,303,1. 7. 12. 13,91277,B16361,Rock shelter,S299,Sævarhagen - Heller,Y,6416,40,Ua-45245,7424,7345,7267,0,0,1,0,0,0,0,166,39.6,33.2,33.2,26.8,6.4,Late Mesolithic,Late Mesolithic,355006.7965,6693012.414,355006.79656693012.414,
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4640,30,Beta-512334,5465,5408,5340,0,0,0,0,1,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,95707,B16753,Open air,S313,Sølen - Lok. 1. Gjeddevann,Y,6200,40,Beta-287953,7172,7085,6981,0,0,1,0,0,0,0,130,16.7,16.6,16.6,16.6,0,Late Mesolithic,Late Mesolithic,293620.1901,6694660.446,293620.19016694660.446,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6930,30,Beta-428312,7836,7751,7680,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Hordaland,Vaksdal,4628,N/A,49,4. 70,15917,B8600,Rock shelter,S350,Skipshelleren Straume - Fetts fk. 1,Y,4255,40,TUa-6755,4879,4833,4796,0,0,0,0,0,0,1,510,16.6,15,15.7,12.8,1.6,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,324940.5808,6728568.175,324940.58086728568.175,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,174641,N/A,Open air,S309,Hammarsland lok. 5,Y,4230,30,Beta-369320,4859,4807,4800,0,0,0,0,1,0,1,280,14,9.5,8.7,5.9,3.4,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,293462.3271,6692205.635,293462.32716692205.635,
Outer coast,Hordaland,Bergen,4601,Dolvik,34,487,113901,B16135,Open air,S308,Dolvik - Lok. 1,Y,4060,70,Beta-196386,4824,4567,4411,0,0,0,0,0,0,1,25,22.5,21.6,21.8,21.2,0.5,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,293820.4365,6691808.835,293820.43656691808.835,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6840,50,Soe17,7780,7671,7583,0,0,1,0,0,0,0,700,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6230,40,Beta-428843,7134,7115,7003,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6710,50,Soe15,7669,7579,7484,0,0,1,0,0,0,0,700,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,7010,30,Beta-428844,7934,7849,7752,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6220,50,Soe97,7256,7103,6991,0,0,1,0,0,0,0,700,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162641,B14945,Open air,S401,108 Havnen,Y,4300,90,Beta-48271,5065,4886,4578,0,0,0,0,1,0,0,400,9.4,9.4,9.4,9.4,0,Early/Middle Neolithic,N/A,301036.7169,6866337.566,301036.71696866337.566,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,5520,30,Beta-427476,6395,6312,6280,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,5150,30,Beta-428849,5947,5915,5888,0,0,0,1,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Early/Middle Neolithic,Early/Middle Neolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6080,30,Beta-472528,7010,6937,6848,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,5800,30,Beta-389706,6670,6603,6498,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Hordaland,Bergen,4601,Dolvik,34,487,113901,B16135,Open air,S308,Dolvik - Lok. 1,Y,3240,120,Beta-196376,3727,3468,3170,0,0,0,0,0,0,1,25,22.5,21.6,21.8,21.2,0.5,Late Neolithic/Early Bronze Age,N/A,293820.4365,6691808.835,293820.43656691808.835,
Outer coast,Hordaland,Bergen,4601,Dolvik,34,487,113901,B16135,Open air,S308,Dolvik - Lok. 1,Y,3010,100,Beta-196379,3406,3188,2930,0,0,0,0,0,0,1,25,22.5,21.6,21.8,21.2,0.5,Late Neolithic/Early Bronze Age,N/A,293820.4365,6691808.835,293820.43656691808.835,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4860,60,T-7052,5734,5592,5468,0,0,0,1,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4880,80,T-7522,5760,5622,5460,0,0,0,1,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,66458,N/A,Open air,S284,Straume - Fetts fk. 1/1. Ramsvikneset,Y,4710,65,TUa-2029,5492,5441,5319,0,0,0,1,0,0,0,320,12.3,10.7,11.4,7.1,1.5,Early/Middle Neolithic,Early/Middle Neolithic,280286.3545,6739310.658,280286.35456739310.658,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,7330,110,T-6232,8368,8142,7962,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,7440,110,T-7528,8419,8247,8020,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4860,55,Tua-2022,5719,5592,5474,0,0,0,1,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,7430,30,Beta-446626,8336,8263,8183,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,8880,150,T-6233,10260,9950,9542,0,1,0,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Middle Mesolithic,Middle Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,7450,100,T-7332,8410,8256,8032,0,0,1,0,0,0,0,400,24.2,16.5,15.3,11.2,4.9,Late Mesolithic,Late Mesolithic,280411.4449,6739309.806,280411.44496739309.806,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6320,30,Beta-458896,7227,7224,7165,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,N/A,B16173,Open air,S411,Nedre Berge och Mykelbust - Felt 2,Y,3900,60,Beta-200970,4446,4325,4151,0,0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,326233,6915738,3.26234E+12,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,8430,30,Beta-446624,9530,9467,9417,0,1,0,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Middle Mesolithic,Middle Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,92576,B17142/ B17392/ B18605,Open air,S409,Not?y strandhyttegrend,Y,5970,30,Beta-400930,6894,6800,6730,0,0,1,0,0,0,0,7791,11.9,7.6,7.5,4.1,1.6,Late Mesolithic,Late Mesolithic,329028.2143,6913189.818,329028.21436913189.818,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,4620,80,Beta-67992,5484,5345,5210,0,0,0,0,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Early/Middle Neolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6210,30,Beta-482272,7137,7088,6999,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,121501,B16607,Open air,S420,S?vika,Y,6010,50,Soe94,6989,6850,6733,0,0,1,0,0,0,0,700,10.5,10,10,9.9,0.2,Late Mesolithic,Late Mesolithic,360214.0147,6937911.496,360214.01476937911.496,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,169598,B14739,Open air,S389,Gloføyk lok. 28,Y,5150,90,Beta-88511,6120,5904,5705,0,0,0,1,0,0,0,103,15.6,14.1,14.1,12.6,1.5,Early/Middle Neolithic,N/A,303407.9805,6865715.137,303407.98056865715.137,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6310,30,Beta-458888,7283,7214,7163,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6330,30,Beta-389718,7320,7250,7235,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,147364,B17281,Open air,S464,Longva - Lok. 65,Y,6530,30,Beta-468572,7508,7451,7420,0,0,1,0,0,0,0,2869,10.5,9.6,9.8,6.9,0.7,Late Mesolithic,Late Mesolithic,360446.2143,6951103.667,360446.21436951103.667,
