Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Fjords,Hordaland,Sveio,4612,Tjernagel,50,22/26,106170,B13655,Open air,Tjernagel lok. 6,39.65,Early Mesolithic,292601.8888,6614844.864,25.1102581,25.09393787,25.09393787,25.07761765,0.016320229,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106170-1
Fjords,Hordaland,Bømlo,4613,Eikeland,11,14/108/179,157514,B18313,Open air,Skogbu,1404,Early Mesolithic,294463.6073,6626449.969,24.01730347,22.64538797,22.24451351,21.78827858,0.798488046,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/157514-1
Fjords,Hordaland,Alver,4631,Flona,442,1,91051,B16447,Open air,Flona 15,80,Early Mesolithic,279268.782,6730805.94,15.28391266,14.77369857,14.80285788,14.20516586,0.382952469,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91051-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94857,B14770,Open air,Breivik - Lok. 40. Slåttevikane,63.75,Early Mesolithic,271425.5403,6719965.416,18.19880104,18.14498215,18.13116837,18.09338379,0.038088017,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94857-1
Fjords,Hordaland,Sveio,4612,Tjernagel,50,26,106214,B13686,Open air,Tjernagel - Lok. 37. Snørhaug,110,Early Mesolithic,292510.1184,6614798.36,10.15504932,8.458410245,8.607047558,8.180714607,0.885038629,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106214-1
Outer coast,Hordaland,Bømlo,4613,Vika,44,11/5/34/5,175684,B17311/B17645,Open air,Vika lokalitet 3,173.15,Early Mesolithic,285133.0788,6616896.842,12.21156979,11.48232607,11.4563117,11.12953186,0.341006694,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/175684-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94859,B14772,Open air,Breivik - Lok. 42. Hidlaren,15,Early Mesolithic,271487.9562,6720442.694,17.4726162,17.37627538,17.44345665,17.2127533,0.11623876,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94859-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94847,B15060,Open air,Breivik - Lok. 19. Hidlaren,69.78,Early Mesolithic,271335.3354,6720479.564,13.90136528,13.88976529,13.80492926,13.58150864,0.177393671,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94847-0
Outer coast,Hordaland,Stord,4614,Hornaland,46,4,15867,B15260,Open air,Horneland - Lok. 111. Djupedalen,225,Early Mesolithic,299984.7975,6630126.238,27.27319145,26.24944414,26.45533752,24.33621216,0.875889111,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/15867-1
Outer coast,Hordaland,Bergen,4601,Hjellestad Søndre (Fana),105,471,116660,B16730,Open air,Lokalitet 1 Hjellestad,97.43,Early Mesolithic,291965.2226,6685327.883,24.79056358,22.18568397,21.68619347,20.64580154,1.567218699,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116660-1
Mainland,Hordaland,Austevoll,4625,Hevrøy,21,19-Jun,94661,N/A,Open air,"Hevrøy - Lok. 1, Hevrøymarka",152.21,Early Mesolithic,281204.6094,6659471.842,15.41772461,14.87077141,14.87077141,14.32381821,0.546953201,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94661-1
Fjords,Hordaland,Øygarden,4626,Breivik,245,61,94855,B14768,Open air,"Breivik - Lok. 34, Budalen",28,Early Mesolithic,272161.822,6719948.593,20.51875877,20.48383645,20.48474121,20.47050476,0.019296368,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94855-1
Fjords,Hordaland,Øygarden,4626,Ljøsøyna,241,252,94829,N/A,Open air,"Blomvågsneset - Lok. 40, Kollsnes næringspark",70,Early Mesolithic,274298.1703,6721183.908,19.70118713,16.71289138,16.81871891,14.13804245,1.749019121,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94829-1
Outer coast,Hordaland,Alver,4631,Kvitstein,491,1,90895,N/A,Open air,"Kvitstein - Lok. 6 (1992), Bognestraumen",186.6,Early Mesolithic,285614.3712,6726101.004,14.97111988,14.12689519,14.63443947,12.75018787,0.776253188,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90895-1
Outer coast,Hordaland,Askøy,4627,Klokkarhagen,42,15,91776,N/A,Open air,Håpoldo - Lok. 2 (2002),30.71,Early Mesolithic,278933.5972,6720342.798,20.92962265,20.42220121,20.51959705,19.93244934,0.447631481,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91776-1
Fjords,Hordaland,Øygarden,4626,Kårtveit,21,2,72887,B12459,Open air,"Kårtveit - Ågotnes, lok. 9",427,Early Mesolithic,279694.5431,6702087.829,21.86876106,21.02216339,21.29163933,19.63661385,0.890706956,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/72887-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,55438,B14543,Open air,"Hopland - Snekkevik 7, Tangane",79,Early Mesolithic,280187.8824,6739898.556,18.19932175,17.61976496,17.77502251,16.88495064,0.547705232,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55438-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,97068,B14375,Open air,Skaga - Lok. 7,58.2,Early Mesolithic,284429.6443,6687786.695,23.28318405,21.43733454,21.08290958,14.98537731,3.492534951,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97068-1
Outer coast,Hordaland,Øygarden,4626,N/A,50,N/A,173222,N/A,Open air,Bjorøy lokalitet 2-2004,170.38,Early Mesolithic,288439.7327,6693778.78,23.73092842,22.08605279,21.78256702,19.91229248,1.162681259,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/173222-1
Outer coast,Hordaland,Ulvik,4620,N/A,N/A,N/A,135009,N/A,Open air,Finseøya Ia,74.5,Early Mesolithic,417442.7666,6718439.55,1219.366089,1219.050171,1219.050171,1218.734253,0.315917969,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/135009-1
Outer coast,Hordaland,Eidfjord,4619,N/A,N/A,N/A,130819,B13023,Open air,Lok. 738 Snero,75,Early Mesolithic,420069.3472,6680051.276,1219.955322,1219.925435,1219.931885,1219.903931,0.02296421,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130819-1
Mainland,Hordaland,Austevoll,4625,N/A,N/A,N/A,117523,N/A,Open air,Bjånes - Lok. 3,150,Early Mesolithic,289830.1431,6667346.659,21.56720734,20.71299267,20.71299267,19.858778,0.854214668,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117523-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,116663,N/A,Open air,Lokalitet 3 Hjellestad,300,Early Mesolithic,291943.5763,6684878.881,23.81788063,22.62648749,22.6205368,21.10736465,0.866079193,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116663-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113991,B5215,Open air,Nyhaugen - Fetts fk. 1,131.79,Early Mesolithic,298540.4769,6696929.449,28.14069939,28.03380871,28.03380871,27.92691803,0.106890678,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113991-1
Fjords,Hordaland,Øygarden,4626,Knappskog,30,N/A,95700,B14355,Open air,Knappskog - Lok. 6,4,Early Mesolithic,282444.5303,6701673.374,21.53540802,21.2484347,21.25637245,20.95352364,0.237619605,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95700-1
Outer coast,Hordaland,Øygarden,4626,Sture,202,103,94943,B14311,Open air,Sture - Lok. 11B,740,Early Mesolithic,273161.0972,6727583.205,13.77270412,10.20650244,9.904470444,9.815590858,1.075879104,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94943-1
Outer coast,Hordaland,Øygarden,4626,Sture,202,103,94941,B14310,Open air,Sture - Lok. 11A,500,Early Mesolithic,273169.8559,6727475.741,13.99802589,12.93801921,13.75549698,9.910829544,1.458987886,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94941-1
Outer coast,Hordaland,Sveio,4612,Tjernagel søre,50,26,106211,B13683,Open air,"Tjernagel - Lok. 34, Tjernagelhaugen",40,Early Mesolithic,292276.7444,6614824.167,12.22456074,9.951241435,10.02891445,9.767411232,0.915916682,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106211-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,230720,N/A,Open air,Kobbehaugen Lok 1,47,Early Mesolithic,274363.1199,6719180.818,25.95877457,23.51356618,23.85710049,21.63508987,1.586125257,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/230720-0
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,219651,N/A,Open air,Skulehusvatnet lok 1,114.34,Early Mesolithic,279766.3744,6702156.84,25.50115204,23.41362747,23.49803257,23.23209,0.862954926,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/219651-1
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,178933,N/A,Open air,Førland - lokalitet 1,158,Early Mesolithic,279475.2371,6741934.079,17.68923378,17.62552071,17.62552071,17.56180763,0.063713074,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/178933-1
Fjords,Hordaland,Øygarden,4626,Bildøy,34,2/70/418,175005,B18058,Open air,Sotrasambandet lok 12 Søre Bildøy,1130,Early Mesolithic,284920.0893,6697120.151,18.14855957,16.65617312,16.65385056,14.94915676,1.037687183,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/175005-1
