Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Mainland,Hordaland,Bømlo,4613,0,0,0,55468,B11776,Open air,Hovland - Fetts fk. 2/3. Bergensleitet I og sta. lok. Bergen,480,Middle/Late Mesolithic,282806,6633925,N/A,N/A,N/A,N/A,N/A,0.12539193,N/A
Outer coast,Hordaland,Stord,4614,Føyno,51,46,108570,B15210,Open air,Føyno - Lok. 49. Grovikjamyro,450,Early/Middle Neolithic,298112.2043,6627954.453,5.612125397,5.052765369,5.01629591,4.19843483,0.456338187,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108570-1
Outer coast,Hordaland,Bømlo,4613,Otterøya,23,2002-03-13,35709,B15420,Open air,Otterøya - Lok. 139. Rådstovevika,80,Early/Middle Neolithic,299596.1753,6626176.517,8.442102432,8.257208504,7.933811426,7.558465481,0.496026947,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/35709-1
Mainland,Hordaland,Alver,4631,Straume,493,2,45505,B14534,Open air,Straume - Böneset 2,347,Early/Middle Neolithic,280326.7518,6739063.58,11.59366608,11.13382149,11.13382149,10.6739769,0.459844589,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45505-1
Outer coast,Hordaland,Alver,4631,Flatøy,1,342,107942,B14750,Open air,Krossnes lok. 1,151,Early/Middle Neolithic,294689.1429,6716337.715,14.88262463,14.54264355,14.54264355,14.20266247,0.339981079,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107942-1
Mainland,Hordaland,Øygarden,4626,Glesnes,133,1/162,114633,B17006,Open air,Glesnes - Lok. 9. Porsvika,300,Early/Middle Neolithic,281212.8937,6681568.173,19.15184975,14.43468201,15.09855175,11.66154099,2.73494746,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114633-1
Outer coast,Hordaland,Bergen,4601,Dolvik,34,487,113901,B16135,Open air,Dolvik - Lok. 1,25,Early/Middle Neolithic,293820.4365,6691808.835,22.51084328,21.62735625,21.84334373,21.16475487,0.521528347,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113901-1
Mainland,Hordaland,Alver,4631,Straume,493,02-Jan,15843,B14532,Open air,Rappeneset 38 (R38),153,Early/Middle Neolithic,280326.5712,6738919.271,15.47471046,13.58816862,13.58816862,11.70162678,1.886541843,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/15843-1
Fjords,Hordaland,Øygarden,4626,Glesnes,133,162/264,114632,B17005,Open air,Glesnes - Lok. 8. Porsvika,670,Early/Middle Neolithic,281235.4453,6681417.499,17.73652077,13.79508072,14.43531561,10.50031376,2.371853654,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114632-1
Fjords,Hordaland,Bømlo,4613,Røyksund,27,23-Mar,96336,N/A,Open air,Røyksund - Lok. 3 (1998). Purkehola,30,Early/Middle Neolithic,294573.3874,6627738.352,11.12840176,10.93966961,10.93966961,10.75093746,0.188732147,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96336-1
Outer coast,Hordaland,Øygarden,4626,Bildøy,34,2,160875,B17678,Open air,Bildøy-lok15,842.94,Early/Middle Neolithic,284789.2775,6697936.082,17.77688599,14.87099198,15.55593586,10.23810863,2.589972188,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160875-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94837,B14617,Open air,Breivik - Lok. 5. Revarvika,150,Early/Middle Neolithic,271423.2305,6720767.569,17.15825844,12.73400204,12.38054943,12.28855991,1.277629229,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94837-1
Fjords,Hordaland,Austevoll,4625,Bakkholmen,39,1,97204,B18226,Open air,Bakkholmen - Lok. 10,176.45,Early/Middle Neolithic,288102.4299,6668643.764,12.91727734,11.93906355,11.93906355,10.96084976,0.978213787,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97204-1
Fjords,Hordaland,Bømlo,4613,Hille,4,53,96029,B18102,Open air,Hille - Lok. 1. Jakobsmarkjo,1300,Early/Middle Neolithic,288779.3845,6628410.654,10.12762833,9.555530866,9.633893013,8.833614349,0.38429874,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96029-1
Mainland,Hordaland,Øygarden,4626,Breivik,245,50,94835,B14615,Open air,"Breivik - Lok. 3, Slåttevikane",100,Early/Middle Neolithic,271435.9841,6720042.633,18.2176342,18.1066246,18.1066246,17.99561501,0.111009598,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94835-1
Fjords,Hordaland,Øygarden,4626,Breivik,245,61,94854,B14767,Open air,Breivik - Lok. 33. Budalen,18,Early/Middle Neolithic,272243.218,6719972.949,18.7434597,18.64370002,18.48144722,18.21943474,0.308182594,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94854-1
Fjords,Hordaland,Bømlo,4613,Gisøysund,153,24-Apr,94605,B14398,Open air,Gisøysund - Gisøy II,25,Early/Middle Neolithic,281270.3736,6646198.078,33.19127655,27.02043639,28.83990383,22.03349495,4.436659477,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94605-1
Outer coast,Hordaland,Austevoll,4625,Haugland,40,122,97198,B15592,Open air,Haugland lok. 4,29.25,Early/Middle Neolithic,289475,6668624,17.17989159,16.68614801,16.69587231,16.30446243,0.31244826,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97198-1
Mainland,Hordaland,Alver,4631,Straume,493,3,25563,B14537,Open air,Straume - Ildalsneset 1,241,Early/Middle Neolithic,280334.7272,6739320.545,9.041590691,7.795308232,7.875952244,6.387737751,1.088090285,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/25563-1
Fjords,Hordaland,Øygarden,4626,Alvheim,253,44663,94887,N/A,Open air,Alvheim - Lok. 62,2,Early/Middle Neolithic,269133.8199,6725359.3,9.557477951,8.713661551,9.269521713,6.758124828,1.152065367,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94887-1
Mainland,Hordaland,Bømlo,4613,Hille,4,53,96030,B18103,Open air,Hille - Lok. 2. Jakobsmarkjo,600,Early/Middle Neolithic,288742.4808,6628459.619,12.15276623,10.87349173,11.11319828,9.268638611,0.898179157,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96030-1
Outer coast,Hordaland,Kvinnherad,4617,Sæbø,194,6,95064,B16112,Open air,Sæbø - Lok. 2. Trones,60,Early/Middle Neolithic,316880.2535,6634692.93,17.22363281,13.67603353,14.53006268,8.751309395,2.378364927,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95064-1
Fjords,Hordaland,Sveio,4612,Kvalvåg,82,2/10/11/185,106345,N/A,Open air,Kvalvåg - Lok. Kvalvågnes,2000,Early/Middle Neolithic,299416.6156,6603249.774,12.13467026,8.713797887,8.767138481,5.853726387,1.456773532,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106345-1
Fjords,Hordaland,Bømlo,4613,Spissøy,26,12,96506,B15256,Open air,Spissøy - Lok. 103. Kobbavågen,80,Early/Middle Neolithic,295221.9618,6627196.763,12.92370033,10.51110109,9.841808319,8.992697716,1.371221491,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96506-1
Outer coast,Hordaland,Øygarden,4626,Breivik,240,50,94851,B14764,Open air,Budalen lok. 30,26.25,Early/Middle Neolithic,272225.281,6719878.572,11.76288891,11.76288891,11.76288891,11.76288891,0,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94851-1
Fjords,Hordaland,Bømlo,4613,Pollen,67,1,96877,B14379,Open air,Pollen - Austvik III,24,Early/Middle Neolithic,281984.0353,6643203.172,16.47370148,12.99670857,13.27579308,12.6315794,1.786758776,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96877-1
Outer coast,Hordaland,Bømlo,4613,Spissøy,26,2,96505,B15255,Open air,Spissøy - Lok. 102. Kobbavågen,150,Early/Middle Neolithic,295207.1439,6627235.166,9.90483284,8.732964516,8.732964516,7.561096191,1.171868324,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96505-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,18354,94840,B14624,Open air,Kollsnesvatnet lok. 12,8.75,Early/Middle Neolithic,272149.6031,6719641.163,6.603213787,6.393279076,6.393279076,6.183344364,0.209934711,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94840-1
Outer coast,Hordaland,Bergen,4601,Myro,129,5/597/772/773,113777,B16856,Open air,"Myro - Lok. 9, Håkonshella",220,Early/Middle Neolithic,289288.4096,6695969.196,13.94672775,13.46636539,13.60452557,12.99011612,0.367358942,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113777-1
Mainland,Hordaland,Austevoll,4625,Toranger,34,12/56,224000,B17826,Open air,Taranger lok 1,36.55,Early/Middle Neolithic,285829.8759,6672212.893,11.38747978,10.86489695,10.47989178,9.572303772,0.985872696,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/224000-1
Mainland,Hordaland,Bergen,4601,Dolvik,34,279/429/487,113902,B16136,Open air,Dolvik 2,100,Early/Middle Neolithic,293790.6631,6691819.843,22.41099167,17.19747038,17.07842255,15.19614601,2.542931157,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113902-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94844,B14627,Open air,Budalen lok. 16,60,Early/Middle Neolithic,272220.4952,6719861.547,11.33819294,10.99938233,10.98709106,10.73398304,0.27748581,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94844-1
Fjords,Hordaland,Bømlo,4613,Eikeland,11,3,212797,B18535,Open air,Røyksund-Leirpollen Lok 4 / Steinalderbuplass,235.5,Early/Middle Neolithic,294033.7754,6626422.9,21.67001915,21.15164566,21.15164566,20.63327217,0.518373489,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212797-1
Outer coast,Hordaland,Alver,4631,Straume,493,2,35468,B14527,Open air,Straume - Rappeneset 30,111,Early/Middle Neolithic,279950.6911,6739214.102,12.02263927,11.27669382,11.27669382,10.53074837,0.745945454,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/35468-1
Fjords,Hordaland,Etne,4611,Trønskenes,130,3,170469,B18530,Open air,Trønskenes - Lok. 1,785.1,Early/Middle Neolithic,327880.8159,6626942.432,19.61139488,15.69010067,15.51777744,12.64363861,2.151717839,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111177-1
Fjords,Hordaland,Sveio,4612,Einstavoll,7,4/50,117147,N/A,Open air,Einstavoll Kjeksevika Lok. 1,150,Early/Middle Neolithic,302211,6624491,N/A,N/A,N/A,N/A,N/A,15.70332336,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117147-1
Outer coast,Hordaland,Sveio,4612,Einstavoll,7,4/50,117147,N/A,Open air,Einstavoll Kjeksevika Lok. 1,150,Early/Middle Neolithic,302210.064,6624489.925,13.91901779,13.61460352,13.61460352,13.31018925,0.304414272,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117147-1
Outer coast,Hordaland,Sveio,4612,Våge Søre,72,4,89451,B18117,Open air,"Våge - Lok. 1, Rophus",80,Early/Middle Neolithic,290555.6385,6600732.476,13.76825523,13.17168093,13.17168093,12.57510662,0.596574306,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/89451-1
Outer coast,Hordaland,Bømlo,4613,Vordland,59,13,160766,B18326,Open air,Lokalitet 2 Vorlandsvågen,88.19696031,Early/Middle Neolithic,287416.6204,6614231.169,17.82037926,13.18996011,13.31658459,11.57962513,2.455593012,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160766-1
Fjords,Hordaland,Bømlo,4613,Berge,61,3,93921,B17276,Open air,Hovland - Bergesvatnet Lok. 2,278.29,Early/Middle Neolithic,286884.2757,6617766.969,9.791434288,9.664753914,9.705606461,9.497220993,0.123536941,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212797-1
Fjords,Hordaland,Bømlo,4613,N/A,59,145,160767,B18327,Open air,Lokalitet 3 Vorlandsvågen,80,Early/Middle Neolithic,287394.089,6614271.701,13.25971317,12.46368237,12.13670349,11.71919537,0.594378668,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160767-1
Outer coast,Hordaland,Øygarden,4626,Storholmen,245,50,94836,B14616,Open air,Breivik - Lok. 4. Revarvika,28,Early/Middle Neolithic,271439.8787,6720642.588,22.19129753,19.85339822,20.75218582,16.21910286,2.381660039,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94836-1
Mainland,Hordaland,Austevoll,4625,Skår,32,4,91327,N/A,Open air,Skår - Lok. 1. Leirpollen,128,Early/Middle Neolithic,285757.3605,6672725.472,13.52939892,12.88706923,12.88706923,12.24473953,0.642329693,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91327-1
Outer coast,Hordaland,Sveio,4612,Hauge,5,44563,99961,N/A,Open air,Hauge - Lokalitet 1,1000,Early/Middle Neolithic,303532.0532,6625285.867,12.39339066,10.60733414,10.53444624,9.112230301,1.069590644,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/99961-1
Mainland,Hordaland,Kvinnherad,4617,Sunde,258,44604,95871,N/A,Open air,Sunde - Lok. 1,959.01,Early/Middle Neolithic,329851,6632746,23.58758736,20.98138275,21.24139309,18.86274719,1.547468993,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95871-1
Outer coast,Hordaland,Stord,4614,Føyno,51,2/50,108578,B15214,Open air,Føyno - Lok. 55. Nautøysundet,70,Early/Middle Neolithic,297854.0951,6628022.477,12.8151722,11.64385732,11.22515583,10.89124393,0.839387948,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108578-1
Outer coast,Hordaland,Alver,4631,Straume,493,2,6476,B14531,Open air,Rappeneset 37 (R37),100,Early/Middle Neolithic,280265.2023,6738912.46,16.37928009,16.18400288,16.18400288,15.98872566,0.195277214,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/92577-1
Outer coast,Hordaland,Bømlo,4613,Eikeland,11,44868,212796,B18534,Open air,Røyksund-Leirpollen Lok 3 / Steinalderbuplass,330.48,Early/Middle Neolithic,294078.1117,6626362.599,10.89590931,10.59657431,10.7555666,9.979254723,0.36125593,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96344-1
Outer coast,Hordaland,Øygarden,4626,Glesnes,133,1,66501,B17004/B17037,Open air,Glesnes - Fetts fk. 10/1. Porsvika,250,Early/Middle Neolithic,281213.9138,6681631.931,14.03786469,13.86515999,13.86515999,13.69245529,0.172704697,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/66501-1
Fjords,Hordaland,Bømlo,4613,Grindheim øvre,14,187,144778,B17334,Open air,Espeland,75.8,Early/Middle Neolithic,294065.1722,6624455.969,11.13490677,11.03108325,10.89701891,10.20335388,0.434873043,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/144778-1
Fjords,Hordaland,Bømlo,4613,Berge,61,2,89421,B13883,Open air,"Berge - Lok. I, Bergeseidet / Lok. Bergeseidet I",52.59,Early/Middle Neolithic,287207.8389,6618034.021,13.34755993,11.95329732,11.58341932,11.12739658,0.879420206,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/89421-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94852,B14765,Open air,Budalen lok. 31,200,Early/Middle Neolithic,272234.9281,6719851.275,10.69212055,10.55502558,10.55502558,10.4179306,0.137094975,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94852-1
Outer coast,Hordaland,Bømlo,4613,Eikeland,11,3,100592,B18101,Open air,Eikeland - Lok. 1. Leirpollen,375,Early/Middle Neolithic,293935.4183,6626640.645,19.89069557,14.19144931,13.63398933,10.33810997,2.52758098,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/100592-1
Fjords,Hordaland,Sveio,4612,Ulveåker,14,4,106105,N/A,Open air,Ulvaråker - Fetts fk. 2. Litlavatnet,10,Early/Middle Neolithic,300891.0204,6621011.587,12.4242115,9.315506637,9.448832989,5.816293716,2.206891538,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106105-1
Fjords,Hordaland,Bømlo,4613,Eide,57,4/129,25785,B17865,Open air,Eide - Fetts fk. 5/2. Nordratræet + nyreg. lok.,1424.67,Early/Middle Neolithic,285116.4982,6612963.477,14.78615665,12.88588111,12.8652916,10.79384232,0.975924404,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/25785-1
Outer coast,Hordaland,Bømlo,4613,Eikeland,11,11,212794,B18532,Open air,Røyksund-Leirpollen Lok 1 / Steinalderbuplass,151.74,Early/Middle Neolithic,294105.9809,6626362.481,11.68061829,10.39736329,10.19679117,9.218414307,0.965265497,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212794-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94834,B14613,Open air,Breivik - Lok. 1. Kollsnesdalen,11,Early/Middle Neolithic,271877.3498,6719725.213,17.02295685,15.24554698,16.77032089,11.94336319,2.337273277,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94834-1
Fjords,Hordaland,Stord,4614,Føyno,51,3/50,108631,B15395,Open air,Føyno - Lok. 138. Jensavikdalen,1375,Early/Middle Neolithic,297377.3938,6627652.722,24.81475639,14.69733338,13.70257902,12.17903614,2.776738456,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108631-1
Fjords,Hordaland,Bømlo,4613,Espevær,46,154,117754,B16769,Open air,Espevær - Steinalderlokalitet. Dørøya,270,Early/Middle Neolithic,282822.7286,6611824.901,11.01586056,10.78013388,10.67906857,10.64547253,0.167247266,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117754-1
Outer coast,Hordaland,Alver,4631,Leirvik,304,25,108157,B15623,Open air,Meland golf lok. 30,50,Early/Middle Neolithic,285250.7706,6717915.381,16.56911469,16.44371033,16.44371033,16.31830597,0.125404358,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108157-1
Outer coast,Hordaland,Øygarden,4626,Tjeldstø,252,35/79,111328,B16898,Open air,Tjeldstø lokalitet 5,800,Early/Middle Neolithic,272445.1322,6724522.777,11.92204666,10.51602209,10.2273283,9.256986618,1.011065246,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111328-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,502/661,95607,B14573,Open air,Katlaberget lok. 6,495.28,Early/Middle Neolithic,288900.363,6694554.524,16.02654076,13.52701068,12.88390923,12.31368351,1.505121559,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95607-1
Fjords,Hordaland,Øygarden,4626,Hellesund,209,1,95568,B15524,Open air,Lammestokkbrotane lok. 1,150,Early/Middle Neolithic,270968.387,6732967.361,9.058748245,8.973406315,8.973406315,8.888064384,0.08534193,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95568-1
Outer coast,Hordaland,Bømlo,4613,Eikeland,11,11,212795,B18533,Open air,Røyksund-Leirpollen Lok 2 / Steinalderbuplass,245.02,Early/Middle Neolithic,294073.9073,6626326.702,13.49516964,13.04648542,13.04648542,12.59780121,0.448684216,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212795-1
Fjords,Hordaland,Bømlo,4613,"Hovland, indre/midtre",53,1/2/3/4/14/23,66727,N/A,Open air,Hovland - Storemyr VII,50,Early/Middle Neolithic,287475.6206,6613611.571,10.88144875,7.229025364,7.273266792,4.801048279,1.799683263,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/66727-1
Outer coast,Hordaland,Bømlo,4613,Hidle,4,8,114126,B18339,Open air,Hidle - Steinalderbuplass (2008),550,Early/Middle Neolithic,288636.1847,6628804.191,8.097207069,7.906383038,7.905750275,7.716824532,0.134571865,N/A,N/A
Outer coast,Hordaland,Bømlo,4613,Gisøysund,153,23/24,94603,B14397,Open air,Gisøysund - Gisøy I,93.86,Early/Middle Neolithic,281302.3115,6646162.657,18.45452881,18.25191529,18.08206177,17.47130013,0.399435511,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94603-1
Outer coast,Hordaland,Alver,4631,Flatøy,1,2/5/7/342,107947,B14753,Open air,Flatøy - Krossnes 5,250,Early/Middle Neolithic,294666.0113,6716385.116,17.99158669,15.5783205,16.32172823,11.67823887,2.363628555,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212794-1
Outer coast,Hordaland,Alver,4631,Leirvik,304,25,108131,B15622,Open air,Leirvik - Lok. 29 (1996),45,Early/Middle Neolithic,285284.5796,6717840.543,11.14433861,9.929521704,9.94123745,7.697145462,1.55204361,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108131-1
Outer coast,Hordaland,Øygarden,4626,N/A,34,2,160875,B17678,Open air,Bildøy-lok15,842.94,Early/Middle Neolithic,284769.14,6697935.09,17.77688599,14.87099198,15.55593586,10.23810863,2.589972188,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160875-1
Fjords,Hordaland,Austevoll,4625,Kvalvåg,20,9,97231,B13108,Open air,Kvalvåg - Lok. 9,156,Early/Middle Neolithic,281507.6266,6659017.009,9.333920479,7.746560237,7.72576952,7.053876877,0.838270461,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97231-1
Fjords,Hordaland,Alver,4631,Leirvik,304,25,108117,B15621,Open air,Leirvik - Lok. 27 (1996),162.34,Early/Middle Neolithic,285289.011,6717857.14,10.53948307,8.754669905,8.754669905,6.969856739,1.784813166,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108117-1
Outer coast,Hordaland,Øygarden,4626,Rong,238,07-Jun,268965,B18446,Open air,Vikane - lok 8,94.82,Early/Middle Neolithic,276033.7009,6715129.966,13.07892418,12.77331969,12.22370243,10.99494362,0.895732221,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/268965-0
Fjords,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Rock shelter,Samnøy - Øvste Dåvatræhelleren,7,Early/Middle Neolithic,313674.1826,6684763.168,26.7177887,25.08857402,23.78249168,23.34714699,1.538293119,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90340-1
Fjords,Hordaland,Øygarden,4626,Harkestad,251,56/115/126/127/190/218,111315,B16965,Open air,Harkestad - Lokalitet 1,2200,Early/Middle Neolithic,272243.4166,6724200.894,15.35377693,11.72085162,11.65350866,10.18683338,1.049127048,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111315-1
Mainland,Hordaland,Øygarden,4626,Ekro,3,44634,221627,B18762,Open air,Ekra lok 1,550.76,Early/Middle Neolithic,281153.9849,6691056.755,18.28662872,16.04623495,15.85108376,15.04915047,0.962210412,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/221627-1
Fjords,Hordaland,Bergen,4601,Myro,129,5/49/773,113778,B16857,Open air,Lok. 9b Håkonshella,50,Early/Middle Neolithic,289294.2591,6695954.704,13.05836773,12.3554533,12.6660347,11.84486866,0.537997332,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113778-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,557/672/673/717/718,95602,B14571,Open air,Bjorøy - Lok. 4. Nilsvika,875,Early/Middle Neolithic,288961.1326,6694606.056,12.89247894,8.961716917,9.746953964,4.13737011,2.64334313,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95602-1
Fjords,Hordaland,Bømlo,4613,Spissøy,26,2,96443,B15199,Open air,"Spissøy - Lok. 32, Kobbavågen",450,Early/Middle Neolithic,295184.3329,6627236.922,10.59316444,8.922095696,9.133296013,6.419548512,1.364952827,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96443-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94846,B14629,Cave,Breivik - Lok. 18. Hidlaren,13.6,Early/Middle Neolithic,271365.5599,6720488.896,29.23951721,24.24130058,21.93455696,21.54982758,3.537761183,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94846-1
Outer coast,Hordaland,Alver,4631,Straume,493,2,25556,B14510,Open air,Rappeneset 12 (R12),356,Early/Middle Neolithic,279463.8692,6739385.83,12.99838448,12.14133251,12.26909494,11.12254715,0.658262662,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/25556-1
Outer coast,Hordaland,Bømlo,4613,Vordland,59,145,160773,B18330,Open air,Lokalitet 5 Vorlandsvågen,100,Early/Middle Neolithic,287353.42,6614336.015,12.47964287,11.49951276,10.60591841,9.361144066,1.25615589,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160773-1
Outer coast,Hordaland,Kvinnherad,4617,Opsanger,154,340,171163,B17574,Open air,Opsangerneset Lok. 1,130.2,Early/Middle Neolithic,316282.1995,6637247.426,15.10922909,14.87468195,14.87468195,14.64013481,0.234547138,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/171163-1
Outer coast,Hordaland,Sveio,4612,Valo,8,59/60/63,106107,B8421,Open air,Valo - Fetts fk. 1. Tjødno,395.3,Early/Middle Neolithic,301664.185,6623398.335,20.19774246,18.36915541,18.91998005,15.43891907,1.987598096,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106107-1
Fjords,Hordaland,Bømlo,4613,Eidet,154,11-Jan,94325,B14394,Open air,Eidet lok. VI,18,Early/Middle Neolithic,281789.4343,6646621.623,10.70331478,10.54168558,10.54168558,10.38005638,0.1616292,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94325-1
Outer coast,Hordaland,Øygarden,4626,Bildøy,34,557/558,141414,B17670,Open air,Bildøy lok 8,717.44,Early/Middle Neolithic,285225.4884,6697784.155,17.2724762,14.24070311,14.24108505,10.06406021,2.508466754,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/141414-1
Mainland,Hordaland,Alver,4631,Straume,493,2,55262,B14528,Open air,Rappeneset 32 (R32),39,Early/Middle Neolithic,279924.6431,6739218.046,16.64468384,12.82049541,13.09162617,8.021641731,2.689801657,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/55262
